station_id,wmo_station_number,observation_time_utc,latitude,longitude,air_temperature_c,dew_point_temperature_c,station_pressure_hpa,mslp_hpa,wind_direction_deg,wind_speed_ms,horizontal_visibility_km,total_cloud_amount_oktas,cloud_base_height_m,present_weather_code,present_weather_description,past_weather_code,past_weather_description,past_weather_2_code,past_weather_2_description,pressure_tendency_characteristic_code,pressure_tendency_characteristic,pressure_tendency_change_hpa,precipitation_amount_mm,precipitation_period_hours,raw_synop
42182,42182,2025-07-02T21:00:00Z,28.583333,77.2,29.8,27.6,,997.8,50,2.058,4.0,4,600,10,Mist,6,Rain,1,Cloud covering more than half of the sky during part of the period and half or less during part,,,,1.0,18.0,AAXX 02214 42182 21596 40504 10298 20276 49978 71061 82530 333 58002 6001/ 82630 84360=
42182,42182,2025-07-03T00:00:00Z,28.583333,77.2,29.0,27.1,,998.3,50,3.087,2.0,3,600,10,Mist,6,Rain,1,Cloud covering more than half of the sky during part of the period and half or less during part,,,,1.0,21.0,AAXX 03004 42182 21595 30506 10290 20271 49983 71061 81530 333 58004 6001/ 81630 83360=
42182,42182,2025-07-03T03:00:00Z,28.583333,77.2,31.4,27.3,,999.2,50,2.572,4.0,3,600,10,Mist,0,Cloud covering half or less of the sky throughout the period,0,Cloud covering half or less of the sky throughout the period,,,,1.0,24.0,AAXX 03034 42182 21596 30505 10314 20273 49992 71000 83500 333 10366 20277 58008 6001/ 83630 555 00013 10111=
42182,42182,2025-07-03T06:00:00Z,28.583333,77.2,35.2,27.9,,998.5,70,2.572,4.0,5,600,5,Haze,2,Cloud covering more than half of the sky throughout the period,2,Cloud covering more than half of the sky throughout the period,,,,,,AAXX 03064 42182 31596 50705 10352 20279 49985 70522 84530 333 58004 84630 83360=
42182,42182,2025-07-03T09:00:00Z,28.583333,77.2,36.4,27.1,,996.7,50,3.087,4.0,5,600,5,Haze,2,Cloud covering more than half of the sky throughout the period,2,Cloud covering more than half of the sky throughout the period,,,,,,AAXX 03094 42182 31596 50506 10364 20271 49967 70522 83330 333 58007 84630 81935 83360=
42182,42182,2025-07-03T12:00:00Z,28.583333,77.2,35.2,27.6,,995.4,50,2.572,4.0,5,1000,5,Haze,2,Cloud covering more than half of the sky throughout the period,2,Cloud covering more than half of the sky throughout the period,,,,,,AAXX 03124 42182 31696 50505 10352 20276 49954 70522 83330 333 10369 58008 83635 81940 83360=
42182,42182,2025-07-03T15:00:00Z,28.583333,77.2,33.0,26.9,,996.9,50,2.058,4.0,4,1000,5,Haze,1,Cloud covering more than half of the sky during part of the period and half or less during part,0,Cloud covering half or less of the sky throughout the period,,,,,,AAXX 03154 42182 31696 40504 10330 20269 49969 70510 82330 333 58002 82635 81940 83360=
42182,42182,2025-07-03T18:00:00Z,28.583333,77.2,31.2,27.3,,999.0,340,1.543,4.0,6,1000,10,Mist,0,Cloud covering half or less of the sky throughout the period,0,Cloud covering half or less of the sky throughout the period,,,,,,AAXX 03184 42182 31696 63403 10312 20273 49990 71000 83330 333 58012 83635 81940 84360=
42182,42182,2025-07-03T21:00:00Z,28.583333,77.2,30.2,27.2,,998.3,50,2.058,2.0,6,1000,10,Mist,2,Cloud covering more than half of the sky throughout the period,2,Cloud covering more than half of the sky throughout the period,,,,,,AAXX 03214 42182 31695 60504 10302 20272 49983 71022 83330 333 58006 83635 81940 85360=
42182,42182,2025-07-04T00:00:00Z,28.583333,77.2,29.4,26.9,,998.9,50,2.058,2.0,6,1000,10,Mist,2,Cloud covering more than half of the sky throughout the period,2,Cloud covering more than half of the sky throughout the period,,,,,,AAXX 04004 42182 31695 60504 10294 20269 49989 71022 83330 333 58007 83635 81940 85360=
42182,42182,2025-07-04T03:00:00Z,28.583333,77.2,32.2,27.2,,999.2,50,2.058,4.0,4,1000,10,Mist,2,Cloud covering more than half of the sky throughout the period,2,Cloud covering more than half of the sky throughout the period,,,,,,AAXX 04034 42182 31696 40504 10322 20272 49992 71022 82530 333 10369 20284 58000 82635 84360 555 10111=
42182,42182,2025-07-04T06:00:00Z,28.583333,77.2,35.6,26.5,,998.0,70,1.543,4.0,5,1000,10,Mist,2,Cloud covering more than half of the sky throughout the period,1,Cloud covering more than half of the sky during part of the period and half or less during part,,,,,,AAXX 04064 42182 31696 50703 10356 20265 49980 71021 83530 333 59005 84635 83360=
42182,42182,2025-07-04T09:00:00Z,28.583333,77.2,32.6,25.9,,996.9,230,5.144,4.0,6,600,5,Haze,2,Cloud covering more than half of the sky throughout the period,2,Cloud covering more than half of the sky throughout the period,,,,,,AAXX 04094 42182 31596 62310 10326 20259 49969 70522 85910 333 59001 84630 81935 86459=
42182,42182,2025-07-04T12:00:00Z,28.583333,77.2,32.2,27.5,,995.7,,1.029,4.0,7,600,10,Mist,9,Thunderstorm(s) with or without precipitation,2,Cloud covering more than half of the sky throughout the period,,,,,,AAXX 04124 42182 31596 79902 10322 20275 49957 71092 84370 333 10362 58002 83630 81935 85459=
42182,42182,2025-07-04T15:00:00Z,28.583333,77.2,31.2,27.3,,997.1,0,0.0,4.0,6,600,10,Mist,2,Cloud covering more than half of the sky throughout the period,2,Cloud covering more than half of the sky throughout the period,,,,,,AAXX 04154 42182 31596 60000 10312 20273 49971 71022 84530 333 58002 84630 85359=
42182,42182,2025-07-04T18:00:00Z,28.583333,77.2,30.6,26.7,,998.8,70,1.543,4.0,6,600,10,Mist,2,Cloud covering more than half of the sky throughout the period,2,Cloud covering more than half of the sky throughout the period,,,,,,AAXX 04184 42182 31596 60703 10306 20267 49988 71022 84530 333 59003 84630 85359=
42182,42182,2025-07-04T21:00:00Z,28.583333,77.2,30.2,27.2,,998.1,,1.029,4.0,4,600,10,Mist,2,Cloud covering more than half of the sky throughout the period,2,Cloud covering more than half of the sky throughout the period,,,,,,AAXX 04214 42182 31596 49902 10302 20272 49981 71022 82530 333 59003 82630 83359=
42182,42182,2025-07-05T00:00:00Z,28.583333,77.2,29.4,27.5,,997.7,,1.029,2.0,4,600,10,Mist,1,Cloud covering more than half of the sky during part of the period and half or less during part,0,Cloud covering half or less of the sky throughout the period,,,,,,AAXX 05004 42182 31595 49902 10294 20275 49977 71010 82530 333 59012 82630 83360=
